"","nail","avg_rugo25","rugo25_variance","avg_point_range25"
"1","1",1.42685548922746,0.0881121028648087,0.0646617373169761
"2","2",1.63198137455763,0.188436398867219,0.077301169133593
"3","3",1.82470294758776,0.103829435692524,0.0993793887807477
"4","4",1.44675733109311,0.0641175137682455,0.0774487734259072
"5","5",2.16869886676684,0.930098531947983,0.148756459083976
"6","6",1.701088843884,0.246239968510928,0.0538406984449478
"7","7",1.89316122630185,0.366740438788658,0.0911941018168051
"8","8",1.71162704315654,0.30679973326467,0.0935459562337354
"9","9",2.50716123223802,0.853695827195639,0.142910836144244
"10","10",1.48921709283374,0.0345705855172904,0.0745137629790285
"11","11",2.09093208820119,0.245622471897726,0.13794634673453
"12","12",1.80913654463036,2.1687420540482,0.0905638169783767
"13","13",1.41123506655463,0.0168751385010757,0.148445309281415
"14","14",1.36943302201739,0.223991455733019,0.065941096575576
"15","15",2.80959413913638,1.36915755958281,0.224031142820559
"16","16",2.00038205754444,0.564376193108691,0.101568839275386
"17","17",1.54946773942637,0.0115856745041409,0.0847953747033853
"18","18",1.38459084798495,0.0962829608906739,0.0621691798319361
"19","19",2.6425707881913,1.13632940514205,0.268955818634283
"20","20",1.40618793779065,0.0563784825105613,0.0871905476232766
"21","21",1.70673287581589,0.173904939186437,0.110783448723657
"22","22",1.64256672219889,0.0611801204288986,0.0972899119035011
"23","23",1.82475025585304,0.412791900862409,0.0884513618332059
"24","24",1.79260486244629,0.352975043543041,0.0934757021974499
"25","25",1.70321214065899,0.19120186237161,0.0947705324914077
"26","26",2.71976015852535,3.21445705507888,0.133726381621304
