"","nail","rugo25_A","rugo25_var_A","avg_point_range_A25"
"1","1",0.725054759746775,0.0156755993699438,0.0646617373169761
"2","2",0.647644457791983,0.0207905213936105,0.077301169133593
"3","3",0.563387758629452,0.00862228649605331,0.0993793887807477
"4","4",0.708798335412554,0.0114921697045352,0.0774487734259072
"5","5",0.510850480534393,0.0151742346249292,0.148756459083976
"6","6",0.627032123469769,0.020795713671112,0.0538406984449478
"7","7",0.56026974133873,0.012444408987073,0.0911941018168051
"8","8",0.632375768598798,0.0270762279563979,0.0935459562337354
"9","9",0.447580806361748,0.0239017791455985,0.142910836144244
"10","10",0.680903991137279,0.00639688489250222,0.0745137629790285
"11","11",0.50138878687686,0.0114423734327575,0.13794634673453
"12","12",0.66609072943944,0.0311302756443208,0.0905638169783767
"13","13",0.714394988252851,0.00444825711317345,0.148445309281415
"14","14",0.772941246716526,0.0192606877968028,0.065941096575576
"15","15",0.413074068300337,0.0242898551924643,0.224031142820559
"16","16",0.543355070000646,0.0163269047463116,0.101568839275386
"17","17",0.648356707507859,0.00203842851685433,0.0847953747033853
"18","18",0.753595101798841,0.0224862222643825,0.0621691798319361
"19","19",0.428168655530456,0.0177403106427196,0.268955818634283
"20","20",0.729448994526697,0.0134434607852294,0.0871905476232766
"21","21",0.615676625634811,0.0176285828284966,0.110783448723657
"22","22",0.620574446115637,0.00707697755203637,0.0972899119035011
"23","23",0.602097561900562,0.0291764185940636,0.0884513618332059
"24","24",0.608604816642733,0.0277845819036925,0.0934757021974499
"25","25",0.614578068667531,0.0135185531408115,0.0947705324914077
"26","26",0.500855380436305,0.0552919783780111,0.133726381621304
