"","site","nail","sed_depth_mm","turf_ length_mm","avg_rugo25","rugo25_variance","avg_point_range25","slope"
"1","Fort Lauderdale","1",2,5,1.16868553751122,0.00533751186932407,0.0386585462548351,32.21137177
"2","Fort Lauderdale","1",2,5,1.16868553751122,0.00533751186932407,0.0386585462548351,35.24070451
"3","Fort Lauderdale","1",2,5,1.16868553751122,0.00533751186932407,0.0386585462548351,31.9890024
"4","Fort Lauderdale","1",2,5,1.16868553751122,0.00533751186932407,0.0386585462548351,32.71835137
"5","Fort Lauderdale","2",3,2,1.22186259439544,0.00443035025027796,0.0388649139541821,31.84870245
"6","Fort Lauderdale","2",3,2,1.22186259439544,0.00443035025027796,0.0388649139541821,30.81592159
"7","Fort Lauderdale","2",3,2,1.22186259439544,0.00443035025027796,0.0388649139541821,34.35019629
"8","Fort Lauderdale","3",1,3,1.07302413716412,0.0017089636439422,0.0241240176052643,22.26756819
"9","Fort Lauderdale","4",2,3,1.16192526980734,0.00314053441537229,0.0264405065875993,28.96631744
"10","Fort Lauderdale","6",3,4,1.1644783192658,0.00608833235952307,0.0470884028899742,31.45277823
"11","Fort Lauderdale","7",2,3,1.12518409168937,0.00374414044063279,0.0469543961368634,28.86413456
"12","Fort Lauderdale","8",4,4,1.18211067488291,0.00513433529555883,0.0306361101778831,31.94619118
"13","Fort Lauderdale","9",5,4,1.18375114883514,0.00566993241423503,0.0334862014102766,30.50498934
"14","Fort Lauderdale","10",5,3,1.26098306500985,0.0132291879306027,0.0392462442783966,34.6094622
"15","Fort Lauderdale","11",4,5,1.17544100642929,0.0034849361050903,0.0282107414308481,32.02641033
"16","Fort Lauderdale","12",4,5,1.10741172233426,0.00413176972383985,0.020223921257511,26.39690428
"17","Fort Lauderdale","13",5,5,1.17523075931107,0.005941905422717,0.0455879191808432,31.68750388
"18","Fort Lauderdale","14",1,4,1.27993622517983,0.0982427616596912,0.0444623604488036,31.20336643
"19","Fort Lauderdale","15",2,2,1.24244209123387,0.0127268758000194,0.0402800244103996,33.94303765
"20","Fort Lauderdale","16",3,4,1.26021876997562,0.0633375737219979,0.0443414779120867,30.55787084
"21","Fort Lauderdale","17",2,5,1.25107439012129,0.0133223601244108,0.0307702183336521,34.64655489
"22","Fort Lauderdale","18",1,3,1.10148249430333,0.00174351123963663,0.0197948309529956,27.50755236
"23","Fort Lauderdale","19",2,8,1.63721850062766,0.248492409924226,0.0706501337235437,33.51354302
"24","Fort Lauderdale","20",2,3,1.347711397007,0.00513153630451301,0.085568934647954,NA
"25","Fort Lauderdale","21",6,7,1.27413234270938,0.0184223089193491,0.062705374597354,34.89519713
"26","Fort Lauderdale","22",5,4,1.23877839929012,0.0492579555152731,0.0381373032287664,28.26446407
"27","Fort Lauderdale","23",2,4,1.13435066565835,0.00438883386896446,0.0403713974532411,27.36334856
"28","Fort Lauderdale","24",2,3,1.20375440637695,0.00446290554338708,0.050210202019767,34.03755107
"29","Fort Lauderdale","25",4,6,1.14171558276546,0.00217214484100572,0.0227003489538904,31.73092463
"30",NA,"5",NA,NA,1.05263963693596,NA,0.00383909800000026,NA
